journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
ACS Nano,1936-0851,1936-086X,Nanoscience,Nanoscience,ACS,Hybrid,Q1,9.45,17.1,430,"Covers nanoscience and nanotechnology including synthesis, characterization, self-assembly, nanomaterials properties, and nanotechnology applications."
Journal of Medicinal Chemistry,0022-2623,1520-4804,Pharmacology,Medicinal Chemistry,ACS,Hybrid,Q1,5.12,7.3,480,"Covers medicinal chemistry including drug design, structure-activity relationships, ADMET, chemical biology, and drug discovery."
ACS Chemical Biology,1554-8929,1554-8937,Biochemistry,Chemical Biology,ACS,Hybrid,Q1,4.23,5.3,190,"Covers chemical biology including bioorthogonal chemistry, chemical probes, protein engineering, and chemical approaches to biology."
Analytical Chemistry,0003-2700,1520-6882,Chemistry,Analytical Chemistry,ACS,Hybrid,Q1,4.67,7.4,640,"Covers analytical chemistry including new methods for chemical measurement, instrumentation, biosensors, and analytical applications."
ACS Synthetic Biology,2161-5063,2161-5063,Biotechnology,Biotechnology,ACS,Hybrid,Q1,4.45,6.9,130,"Covers synthetic biology including genetic circuits, metabolic engineering, cell-free systems, protein engineering, and CRISPR applications."
Accounts of Chemical Research,0001-4842,1520-4898,Chemistry,Chemistry,ACS,Hybrid,,,,,
Accounts of Materials Research,Web Only,2643-6728,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Agricultural Science & Technology,Web Only,2692-1952,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Applied Bio Materials,Web Only,2576-6422,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Applied Electronic Materials,Web Only,2637-6113,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Applied Energy Materials,Web Only,2574-0962,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Applied Engineering Materials,Web Only,2771-9545,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Applied Materials & Interfaces,1944-8244,1944-8252,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Applied Nano Materials,Web Only,2574-0970,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Applied Optical Materials,Web Only,2771-9855,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Applied Polymer Materials,Web Only,2637-6105,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Bio & Med Chem Au1,Web Only,2694-2437,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Biomaterials Science & Engineering,Web Only,2373-9878,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Catalysis,Web Only,2155-5435,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Central Science,Web Only,2374-7951,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Chemical Health & Safety,1871-5532,1878-0504,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Chemical Neuroscience,Web Only,1948-7193,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Combinatorial Science4,2156-8952,2156-8944,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Earth and Space Chemistry,Web Only,2472-3452,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Electrochemistry (New in 2025),Web Only,2997-0571,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Energy Letters,Web Only,2380-8195,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Engineering Au1,Web Only,2694-2488,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Environmental Au1,Web Only,2694-2518,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS ES&T Air,Web Only,2837-1402,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS ES&T Engineering,Web Only,2690-0645,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS ES&T Water,Web Only,2690-0637,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Food Science & Technology,Web Only,2692-1944,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Infectious Diseases,Web Only,2373-8227,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Macro Letters,Web Only,2161-1653,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Materials Au1,Web Only,2694-2461,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Materials Letters,Web Only,2639-4979,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Measurement Science Au1,Web Only,2694-250X,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Medicinal Chemistry Letters,Web Only,1948-5875,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Nano Medicine (new in 2026),Web Only,3067-5928,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Nanoscience Au1,Web Only,2694-2496,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Nutrition Science (new in 2026),Web Only,3067-6037,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Omega,Web Only,2470-1343,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Organic & Inorganic Au1,Web Only,2694-247X,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Pharmacology & Translational Science,Web Only,2575-9108,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Photonics,Web Only,2330-4022,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Physical Chemistry Au1,Web Only,2694-2445,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Polymers Au1,Web Only,2694-2453,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Sensors,Web Only,2379-3694,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Sustainable Chemistry & Engineering,Web Only,2168-0485,Chemistry,Chemistry,ACS,Hybrid,,,,,
ACS Sustainable Resource Management,Web Only,2837-1445,Chemistry,Chemistry,ACS,Hybrid,,,,,
Artificial Photosynthesis,Web Only,2994-0974,Chemistry,Chemistry,ACS,Hybrid,,,,,
Biochemistry,0006-2960,1520-4995,Chemistry,Chemistry,ACS,Hybrid,,,,,
Bioconjugate Chemistry,1043-1802,1520-4812,Chemistry,Chemistry,ACS,Hybrid,,,,,
Biomacromolecules,1525-7797,1526-4602,Chemistry,Chemistry,ACS,Hybrid,,,,,
C&EN Global Enterprise2,Web Only,2474-7408,Chemistry,Chemistry,ACS,Hybrid,,,,,
Chem & Bio Engineering,Web Only,2836-967X,Chemistry,Chemistry,ACS,Hybrid,,,,,
Chemical & Biomedical Imaging,Web Only,2832-3637,Chemistry,Chemistry,ACS,Hybrid,,,,,
Chemical Research in Toxicology,0893-228X,1520-5010,Chemistry,Chemistry,ACS,Hybrid,,,,,
Chemical Reviews,0009-2665,1520-6890,Chemistry,Chemistry,ACS,Hybrid,,,,,
Chemistry of Materials,0897-4756,1520-5002,Chemistry,Chemistry,ACS,Hybrid,,,,,
Crystal Growth & Design,1528-7483,1528-7505,Chemistry,Chemistry,ACS,Hybrid,,,,,
Energy & Fuels,0887-0624,1520-5029,Chemistry,Chemistry,ACS,Hybrid,,,,,
Environment & Health,Web Only,2833-8278,Chemistry,Chemistry,ACS,Hybrid,,,,,
Environmental Science & Technology,0013-936X,1520-5851,Chemistry,Chemistry,ACS,Hybrid,,,,,
Environmental Science & Technology Letters,Web Only,2328-8930,Chemistry,Chemistry,ACS,Hybrid,,,,,
Industrial & Engineering Chemistry Research,0888-5885,1520-5045,Chemistry,Chemistry,ACS,Hybrid,,,,,
Inorganic Chemistry,0020-1669,1520-510X,Chemistry,Chemistry,ACS,Hybrid,,,,,
JACS Au1,Web Only,2691-3704,Chemistry,Chemistry,ACS,Hybrid,,,,,
Journal of Agricultural and Food Chemistry,0021-8561,1520-5118,Chemistry,Chemistry,ACS,Hybrid,,,,,
Journal of Chemical & Engineering Data,0021-9568,1520-5134,Chemistry,Chemistry,ACS,Hybrid,,,,,
Journal of Chemical Education,0021-9584,1938-1328,Chemistry,Chemistry,ACS,Hybrid,,,,,
Journal of Chemical Information and Modeling,1549-9596,1549-960X,Chemistry,Chemistry,ACS,Hybrid,,,,,
Journal of Chemical Theory and Computation,1549-9618,1549-9626,Chemistry,Chemistry,ACS,Hybrid,,,,,
Journal of Natural Products,0163-3864,1520-6025,Chemistry,Chemistry,ACS,Hybrid,,,,,
Journal of Proteome Research,1535-3893,1535-3907,Chemistry,Chemistry,ACS,Hybrid,,,,,
Journal of the American Chemical Society,0002-7863,1520-5126,Chemistry,Chemistry,ACS,Hybrid,,,,,
Journal of the American Society for Mass Spectrometry,1044-0305,1879-1123,Chemistry,Chemistry,ACS,Hybrid,,,,,
Langmuir,0743-7463,1520-5827,Chemistry,Chemistry,ACS,Hybrid,,,,,
Macromolecules,0024-9297,1520-5835,Chemistry,Chemistry,ACS,Hybrid,,,,,
Molecular Pharmaceutics,1543-8384,1543-8392,Chemistry,Chemistry,ACS,Hybrid,,,,,
Nano Letters,1530-6984,1530-6992,Chemistry,Chemistry,ACS,Hybrid,,,,,
Organic Letters,1523-7060,1523-7052,Chemistry,Chemistry,ACS,Hybrid,,,,,
Organic Process Research & Development,1083-6160,1520-586X,Chemistry,Chemistry,ACS,Hybrid,,,,,
Organometallics,0276-7333,1520-6041,Chemistry,Chemistry,ACS,Hybrid,,,,,
Photon Science (new in 2025),Web Only,2998-8799,Chemistry,Chemistry,ACS,Hybrid,,,,,
Polymer Science & Technology (new in 2025),Web Only,2997-3279,Chemistry,Chemistry,ACS,Hybrid,,,,,
Precision Chemistry,Web Only,2771-9316,Chemistry,Chemistry,ACS,Hybrid,,,,,
The Journal of Organic Chemistry,0022-3263,1520-6904,Chemistry,Chemistry,ACS,Hybrid,,,,,
The Journal of Physical Chemistry A3,1089-5639,1520-5215,Chemistry,Chemistry,ACS,Hybrid,,,,,
The Journal of Physical Chemistry B3,1520-6106,1520-5207,Chemistry,Chemistry,ACS,Hybrid,,,,,
The Journal of Physical Chemistry C3,1932-7447,1932-7455,Chemistry,Chemistry,ACS,Hybrid,,,,,
The Journal of Physical Chemistry Letters,Web Only,1948-7185,Chemistry,Chemistry,ACS,Hybrid,,,,,
"Some journals have undergone title or publisher changes during their lifetimes. For more information about individual title history, please visit the journal's list of issues page on pubs.acs.org and look in the ""former titles"" information box.",,,Chemistry,Chemistry,ACS,Hybrid,,,,,
"The ACS All Publications, Core Plus, and Science Essentials Packages provide front-file access only.  For access to prior content, a separate subscription to the ACS Legacy Archives is needed.  Exceptions where subscription access includes all back issues applies to Journal of Chemical Education, ACS Chemical Health & Safety, and Journal of the American Society for Mass Spectrometry.",,,Chemistry,Chemistry,ACS,Hybrid,,,,,
This journal is gold open access and free to access but should be added to the library discovery systems.,,,Chemistry,Chemistry,ACS,Hybrid,,,,,
"This is the online edition of C&EN news magazine that is made available to organizational subscribers. It is included in most, but not all, ACS All Publications and ACS Core Plus Packages.",,,Chemistry,Chemistry,ACS,Hybrid,,,,,
"Starting in 1997, the Journal of Physical Chemistry split into two sections, A and B.  In 2007 a third, C, was introduced.  Editorially, these are treated as three separate journals. Transactionally, all three sections (A, B, and C) are treated as a single journal subscription.",,,Chemistry,Chemistry,ACS,Hybrid,,,,,
This journal ceased publishing new articles in 2021. Previously published content will continue to be available.,,,Chemistry,Chemistry,ACS,Hybrid,,,,,
"Fee waivers may be available for publishing authors. Visit https://acsopenscience.org/researchers/oa-pricing/#discounts and select ""Other fully open access journals"" to view possible waivers.",,,Chemistry,Chemistry,ACS,Hybrid,,,,,
subscription journals,,,Chemistry,Chemistry,ACS,Hybrid,,,,,
total journals,,,Chemistry,Chemistry,ACS,Hybrid,,,,,
open access journals,,,Chemistry,Chemistry,ACS,Hybrid,,,,,
