journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
Current Neuropharmacology,1570-159X,1875-6190,Pharmacology,Pharmacology,Bentham Science,Hybrid,Q1,,5.3,,"Current Neuropharmacology aims to provide current, timely and comprehensive reviews and guest edited issues of all areas of neuropharmacology and related matters of neuroscience. The reviews cover the fields of molecular, cellular, and systems/behavioural aspects of neuropharmacology and neuroscience."
Recent Patents on Anti-Cancer Drug Discovery,1574-8928,2212-3970,Pharmaceutical science,Pharmaceutical science,Bentham Science,Hybrid,Q3,,4.1,,"Recent Patents on Anti-Cancer Drug Discovery publishes review and research articles, and guest edited thematic issues on recent patents in the field of anti-cancer drug discovery e.g. on novel bioactive compounds, analogs & targets. The journal also publishes book reviews of eBooks and books on anti-cancer drug discovery. A selection of important and recent patents on anti-cancer drug discovery is also included in the journal. The journal is essential reading for all researchers involved in anti-cancer drug design and discovery. The journal also covers recent research (where patents have been registered) in fast emerging therapeutic areas/targets & therapeutic agents related to anti-cancer drug discovery."
Current Medicinal Chemistry,0929-8673,1875-533X,Medicinal chemistry,Medicinal chemistry,Bentham Science,Hybrid,Q2,,3.5,,Current Medicinal Chemistry covers all the latest and outstanding developments in medicinal chemistry and rational drug design. Each issue contains a series of timely in-depth reviews and guest edited thematic issues written by leaders in the field covering a range of the current topics in medicinal chemistry. Current Medicinal Chemistry is an essential journal for every medicinal chemist who wishes to be kept informed and up-to-date with the latest and most important developments.
Current Cancer Drug Targets,1568-0096,1873-5576,Cancer Research,Cancer Research,Bentham Science,Hybrid,Q3,,3.5,,"Current Cancer Drug Targets aims to cover all the latest and outstanding developments on the medicinal chemistry, pharmacology, molecular biology, genomics and biochemistry of contemporary molecular drug targets involved in cancer, e.g. disease specific proteins, receptors, enzymes and genes."
Mini-Reviews in Medicinal Chemistry,1389-5575,1875-5607,Medicinal chemistry,Medicinal chemistry,Bentham Science,Hybrid,Q3,,3.3,,"The scope of Mini-Reviews in Medicinal Chemistry will cover all areas of medicinal chemistry including developments in rational drug design, synthetic chemistry, bioorganic chemistry, high-throughput screening, combinatorial chemistry, drug targets, and natural product research and structure-activity relationship studies."
Current Gene Therapy,1566-5232,1875-5631,Molecular Medicinal Science,Molecular Medicinal Science,Bentham Science,Hybrid,Q2,,3.3,,"Current Gene Therapy is a bi-monthly peer-reviewed journal aimed at academic and industrial scientists with an interest in major topics concerning basic research and clinical applications of gene and cell therapy of genetic diseases. Cell therapy manuscripts can also include application in non-genetic diseases when cells have been genetically modified. Current Gene Therapy publishes reviews and original research on the latest developments in gene transfer and gene expression analysis, vector development, cellular genetic engineering, animal models and human clinical applications of gene and cell therapy for the treatment of genetic diseases."
Current Topics in Medicinal Chemistry,1568-0266,1873-4294,Medicinal chemistry,Medicinal chemistry,Bentham Science,Hybrid,Q3,,3.3,,"Current Topics in Medicinal Chemistry is a forum for the review of areas of keen and topical interest to medicinal chemists and others in the allied disciplines. Each issue is solely devoted to a specific topic, containing six to nine reviews, which provide the reader a comprehensive survey of that area. A Guest Editor who is an expert in the topic under review, will assemble each issue. The scope of Current Topics in Medicinal Chemistry will cover all areas of medicinal chemistry, including current developments in rational drug design, synthetic chemistry, bioorganic chemistry, high-throughput screening, combinatorial chemistry, compound diversity measurements, drug absorption, drug distribution, metabolism, new and emerging drug targets, natural products, pharmacogenomics, and structure-activity relationships. Medicinal chemistry is a rapidly maturing discipline. The study of how structure and function are related is absolutely essential to understanding the molecular basis of life. Current Topics in Medicinal Chemistry aims to contribute to the growth of scientific knowledge and insight, and facilitate the discovery and development of new therapeutic agents to treat debilitating human disorders. The journal is essential for every medicinal chemist who wishes to be kept informed and up-to-date with the latest and most important advances."
Recent Patents on Nanotechnology,1872-2105,2212-4020,Nanotechnology Science,Nanotechnology Science,Bentham Science,Hybrid,Q3,,3.1,,"Recent Patents on Nanotechnology publishes review and research articles, and guest edited thematic issues on recent patents in the field of nanotechnology. A selection of important and recent patents on nanotechnology is also included in the journal. The journal is essential reading for all researchers involved in nanotechnology."
Current Drug Delivery,1567-2018,1875-5704,Pharmaceutical science,Pharmaceutical science,Bentham Science,Hybrid,Q2,,3,,"Current Drug Delivery aims to publish peer-reviewed articles, research articles, in-depth reviews/mini-reviews, and drug clinical trials studies in the rapidly developing field of drug delivery. Modern drug research aims to build delivery properties of a drug at the design phase, however in many cases this idea cannot be met and the development of delivery systems becomes as important as the development of the drugs themselves."
Anti-Cancer Agents in Medicinal Chemistry,1871-5206,1875-5992,Cancer Research,Cancer Research,Bentham Science,Hybrid,Q3,,3,,Anti-Cancer Agents in Medicinal Chemistry aims to cover all the latest and outstanding developments in medicinal chemistry and rational drug design for the discovery of anti-cancer agents.
CNS & Neurological Disorders - Drug Targets,1871-5273,1996-3181,Pharmacology,Pharmacology,Bentham Science,Hybrid,Q2,,3,,"CNS & Neurological Disorders - Drug Targets aims to cover all the latest and outstanding developments on the medicinal chemistry, pharmacology, molecular biology, genomics and biochemistry of contemporary molecular targets involved in neurological and central nervous system (CNS) disorders e.g. disease specific proteins, receptors, enzymes, genes."
Current Bioinformatics,1574-8936,2212-392X,Bioinformatics,Bioinformatics,Bentham Science,Hybrid,Q2,,2.9,,"Current Bioinformatics aims to publish all the latest and outstanding developments in bioinformatics. Each issue contains a series of timely, in-depth reviews, drug clinical trial studies and guest edited thematic issues written by leaders in the field, covering a wide range of the integration of biology with computer and information science."
Current Pharmaceutical Design,1381-6128,1873-4286,Pharmacy & pharmacology,Pharmacy & pharmacology,Bentham Science,Hybrid,Q2,,2.8,,"Current Pharmaceutical Design publishes timely in-depth reviews and research articles from leading pharmaceutical researchers in the field, covering all aspects of current research in rational drug design. Each issue is devoted to a single major therapeutic area guest edited by an acknowledged authority in the field."
Current Pharmaceutical Biotechnology,1389-2010,1873-4316,Biotechnology,Biotechnology,Bentham Science,Hybrid,Q3,,2.6,,"Current Pharmaceutical Biotechnology aims to cover all the latest and outstanding developments in Pharmaceutical Biotechnology. Each issue of the journal contains a series of timely in-depth reviews, research articles and letters written by leaders in the field covering a range of current topics in both pre-clinical and clinical areas of Pharmaceutical Biotechnology. Current Pharmaceutical Biotechnology is an essential journal for academic, clinical, government and pharmaceutical scientists who wish to be kept informed and up-to-date with the latest and most important developments."
Medicinal Chemistry,1573-4064,1875-6638,Medicinal chemistry,Medicinal chemistry,Bentham Science,Hybrid,Q3,,2.6,,"Medicinal Chemistry a peer-reviewed journal, aims to cover all the latest outstanding developments in medicinal chemistry and rational drug design. The journal publishes original research, mini-review articles and guest edited thematic issues covering recent research and developments in the field. Articles are published rapidly by taking full advantage of Internet technology for both the submission and peer review of manuscripts. Medicinal Chemistry is an essential journal for all involved in drug design and discovery."
Current Drug Targets,1389-4501,1873-5592,Pharmacy & pharmacology,Pharmacy & pharmacology,Bentham Science,Hybrid,Q2,,2.5,,"Current Drug Targets aims to cover the latest and most outstanding developments on the medicinal chemistry and pharmacology of molecular drug targets e.g. disease specific proteins, receptors, enzymes, genes."
