journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
Development,0950-1991,1477-9129,Developmental Biology,Developmental Biology,Cambridge UP,Hybrid,Q1,3.45,5.9,350,"Covers developmental biology including cell fate specification, organogenesis, stem cell biology, tissue patterning, and regeneration."
Epidemiology and Infection,0950-2688,1469-4409,Public Health,Public Health,Cambridge UP,Hybrid,Q2,2.12,3.8,210,"Covers epidemiology and infection including infectious disease epidemiology, outbreak investigations, and infection control."
Journal of Fluid Mechanics,0022-1120,1469-7645,Fluid Mechanics,Fluid Mechanics,Cambridge UP,Hybrid,Q1,1.89,3.7,480,"Covers fluid mechanics including turbulence, computational fluid dynamics, aerodynamics, and geophysical fluid dynamics."
Psychological Medicine,0033-2917,1469-8978,Psychiatry,Psychiatry,Cambridge UP,Hybrid,Q1,3.45,6.2,330,"Covers psychiatry and clinical psychology including psychopathology, treatment trials, neuroimaging, genetics, and mental health epidemiology."
European Journal of Applied Mathematics,0956-7925,1469-4425,Mathematics,Applied Mathematics,Cambridge UP,Hybrid,Q2,1.34,1.5,90,"Covers applied mathematics including mathematical modelling, differential equations, numerical analysis, and applications in sciences."
Journal of Agricultural and Applied Economics,1074-0708,2056-7405,,,Cambridge UP,OA,,,,,
Advances in Archaeological Practice,,2326-3768,,,Cambridge UP,OA,,,,,
American Antiquity,0002-7316,2325-5064,,,Cambridge UP,Hybrid,,,,,
Annals of Actuarial Science,1748-4995,1748-5002,,,Cambridge UP,OA,,,,,
"Africa Bibliography, Research and Documentation",2752-6399,2752-6402,,,Cambridge UP,Hybrid,,,,,
Asian Journal of Comparative Law,2194-6078,1932-0205,,,Cambridge UP,OA,,,,,
Australian Journal of Environmental Education,0814-0626,2049-775X,,,Cambridge UP,OA,,,,,
Aeronautical Journal,0001-9240,2059-6464,,,Cambridge UP,Hybrid,,,,,
Journal of African History,0021-8537,1469-5138,,,Cambridge UP,Hybrid,,,,,
Africa,0001-9720,1750-0184,,,Cambridge UP,Hybrid,,,,,
Agricultural and Resource Economics Review,1068-2805,2372-2614,,,Cambridge UP,OA,,,,,
Journal of Agricultural Science,0021-8596,1469-5146,,,Cambridge UP,Hybrid,,,,,
Animal Health Research Reviews,1466-2523,1475-2654,,,Cambridge UP,OA,,,,,
"Annales. Histoire, Sciences Sociales",0395-2649,1953-8146,,,Cambridge UP,Hybrid,,,,,
Austrian History Yearbook,0067-2378,1558-5255,,,Cambridge UP,Hybrid,,,,,
AI EDAM,0890-0604,1469-1760,,,Cambridge UP,OA,,,,,
American Journal of International Law,0002-9300,2161-7953,,,Cambridge UP,Hybrid,,,,,
Asian Journal of International Law,2044-2513,2044-2521,,,Cambridge UP,Hybrid,,,,,
AJIL Unbound,,2398-7723,,,Cambridge UP,OA,,,,,
Art Libraries Journal,0307-4722,2059-7525,,,Cambridge UP,Hybrid,,,,,
Asian Journal of Law and Society,2052-9015,2052-9023,,,Cambridge UP,OA,,,,,
American Journal of Law & Medicine,0098-8588,2375-835X,,,Cambridge UP,Hybrid,,,,,
Proceedings of the ASIL Annual Meeting,0272-5037,2169-1118,,,Cambridge UP,Hybrid,,,,,
Cambridge Prisms: Antimicrobial Resistance,,2977-7550,,,Cambridge UP,OA,,,,,
Journal of American Studies,0021-8758,1469-5154,,,Cambridge UP,Hybrid,,,,,
Anatolian Studies,0066-1546,2048-0849,,,Cambridge UP,Hybrid,,,,,
Antichthon,0066-4774,2056-8819,,,Cambridge UP,OA,,,,,
Animal Nutriomics,2977-3776,2977-3784,,,Cambridge UP,OA,,,,,
Antarctic Science,0954-1020,1365-2079,,,Cambridge UP,OA,,,,,
Antiquaries Journal,0003-5815,1758-5309,,,Cambridge UP,Hybrid,,,,,
Acta Numerica,0962-4929,1474-0508,,,Cambridge UP,OA,,,,,
ANZIAM Journal,1446-1811,1446-8735,,,Cambridge UP,Hybrid,,,,,
Annals of Glaciology,0260-3055,1727-5644,,,Cambridge UP,OA,,,,,
Journal of the American Philosophical Association,2053-4477,2053-4485,,,Cambridge UP,OA,,,,,
Asia-Pacific Journal,,1557-4660,,,Cambridge UP,OA,,,,,
Annual Review of Applied Linguistics,0267-1905,1471-6356,,,Cambridge UP,Hybrid,,,,,
Advances in Applied Probability,0001-8678,1475-6064,,,Cambridge UP,Hybrid,,,,,
Applied Psycholinguistics,0142-7164,1469-1817,,,Cambridge UP,OA,,,,,
Antiquity,0003-598X,1745-1744,,,Cambridge UP,Hybrid,,,,,
Archaeological Dialogues,1380-2038,1478-2294,,,Cambridge UP,OA,,,,,
Archaeological Reports,0570-6084,2041-4102,,,Cambridge UP,Hybrid,,,,,
Architectural History,0066-622X,2059-5670,,,Cambridge UP,Hybrid,,,,,
arq: Architectural Research Quarterly,1359-1355,1474-0516,,,Cambridge UP,Hybrid,,,,,
ASTIN Bulletin: The Journal of the IAA,0515-0361,1783-1350,,,Cambridge UP,Hybrid,,,,,
Antimicrobial Stewardship & Healthcare Epidemiology,,2732-494X,,,Cambridge UP,OA,,,,,
International Journal of Asian Studies,1479-5914,1479-5922,,,Cambridge UP,Hybrid,,,,,
Ageing & Society,0144-686X,1469-1779,,,Cambridge UP,Hybrid,,,,,
Arabic Sciences and Philosophy,0957-4239,1474-0524,,,Cambridge UP,Hybrid,,,,,
