journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
ABI Technik,0720-6763,2191-4664,"Library and Information Science, Book Studies","Library and Information Science, Book Studies",De Gruyter,Hybrid,,,,,
"Accounting, Economics, and Law: A Convivium",2194-6051,2152-2820,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Advanced Nonlinear Studies,1536-1365,2169-0375,Mathematics,Mathematics,De Gruyter,OA,,,,,
Advances in Calculus of Variations,1864-8258,1864-8266,Mathematics,Mathematics,De Gruyter,Hybrid,,,,,
Advances in Geometry,1615-715X,1615-7168,Mathematics,Mathematics,De Gruyter,Hybrid,,,,,
Advances in Laboratory Medicine / Avances en Medicina de Laboratorio,,2628-491X,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Advances in Nonlinear Analysis,2191-9496,2191-950X,Mathematics,Mathematics,De Gruyter,OA,,,,,
AfP,0949-2100,2366-0945,Law,Law,De Gruyter,Hybrid,,,,,
Altorientalische Forschungen,0232-8461,2196-6761,Theology and Religion,Theology and Religion,De Gruyter,Hybrid,,,,,
American Mineralogist,0003-004X,1945-3027,Materials Sciences,Materials Sciences,De Gruyter,Hybrid,,,,,
Analyse & Kritik,0171-5860,2365-9858,Social Sciences,Social Sciences,De Gruyter,Hybrid,,,,,
Analysis,0174-4747,2196-6753,Mathematics,Mathematics,De Gruyter,Hybrid,,,,,
Analysis and Geometry in Metric Spaces,,2299-3274,Mathematics,Mathematics,De Gruyter,OA,,,,,
Analysis of Current Trends in Antisemitism - ACTA,,2568-9347,History,History,De Gruyter,Hybrid,,,,,
Angermion,1438-2091,1868-9426,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
Anglia,0340-5222,1865-8938,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Antike und Abendland,0003-5696,1613-0421,Classical and Ancient Near Eastern Studies,Classical and Ancient Near Eastern Studies,De Gruyter,Hybrid,,,,,
Apeiron,0003-6390,2156-7093,Classical and Ancient Near Eastern Studies,Classical and Ancient Near Eastern Studies,De Gruyter,Hybrid,,,,,
Applied Linguistics Review,1868-6303,1868-6311,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Applied Rheology,,1617-8106,Physics,Physics,De Gruyter,OA,,,,,
Arbeit,0941-5025,2365-984X,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Arbitrium,0723-2977,1865-8849,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
arcadia,0003-7982,1613-0642,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
architectura,0044-863X,2569-1554,Architecture and Design,Architecture and Design,De Gruyter,Hybrid,,,,,
Archiv für Geschichte der Philosophie,0003-9101,1613-0650,Philosophy,Philosophy,De Gruyter,Hybrid,,,,,
Archiv für Papyrusforschung und verwandte Gebiete,0066-6459,1867-1551,Classical and Ancient Near Eastern Studies,Classical and Ancient Near Eastern Studies,De Gruyter,Hybrid,,,,,
Archiv für Reformationsgeschichte - Archive for Reformation History,0003-9381,2198-0489,Theology and Religion,Theology and Religion,De Gruyter,Hybrid,,,,,
Archiv für Religionsgeschichte,1436-3038,1868-8888,Classical and Ancient Near Eastern Studies,Classical and Ancient Near Eastern Studies,De Gruyter,Hybrid,,,,,
Aschkenas,1016-4987,1865-9438,History,History,De Gruyter,Hybrid,,,,,
Asian Journal of Law and Economics,2194-6086,2154-4611,Law,Law,De Gruyter,Hybrid,,,,,
Asian Journal of Medical Humanities,,2751-0069,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Asia-Pacific Journal of Risk and Insurance,1793-2157,2153-3792,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Asiatische Studien - Études Asiatiques,0004-4717,2235-5871,History,History,De Gruyter,Hybrid,,,,,
at - Automatisierungstechnik,0178-2312,2196-677X,Engineering,Engineering,De Gruyter,Hybrid,,,,,
AUTEX Research Journal,,2300-0929,Materials Sciences,Materials Sciences,De Gruyter,OA,,,,,
Basic Income Studies,2194-6094,1932-0183,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Beiträge zur Geschichte der deutschen Sprache und Literatur,0005-8076,1865-9373,Literary Studies,Literary Studies,De Gruyter,Hybrid,,,,,
Berliner Theologische Zeitschrift,0724-6137,2699-3414,Theology and Religion,Theology and Religion,De Gruyter,Hybrid,,,,,
Bibliothek Forschung und Praxis,0341-4183,1865-7648,"Library and Information Science, Book Studies","Library and Information Science, Book Studies",De Gruyter,Hybrid,,,,,
Bibliotheksdienst,0006-1972,2194-9646,"Library and Information Science, Book Studies","Library and Information Science, Book Studies",De Gruyter,Hybrid,,,,,
Biological Chemistry,1431-6730,1437-4315,Life Sciences,Life Sciences,De Gruyter,Hybrid,,,,,
Biomedical Engineering / Biomedizinische Technik,0013-5585,1862-278X,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Biomolecular Concepts,1868-5021,1868-503X,Life Sciences,Life Sciences,De Gruyter,OA,,,,,
Botanica Marina,0006-8055,1437-4323,Life Sciences,Life Sciences,De Gruyter,Hybrid,,,,,
Byzantinische Zeitschrift,0007-7704,1868-9027,History,History,De Gruyter,Hybrid,,,,,
Case Reports in Perinatal Medicine,2192-8932,2192-8959,Medicine,Medicine,De Gruyter,OA,,,,,
Chemical Product and Process Modeling,2194-6159,1934-2659,Industrial Chemistry,Industrial Chemistry,De Gruyter,Hybrid,,,,,
Chemistry International,0193-6484,1365-2192,Chemistry,Chemistry,De Gruyter,Hybrid,,,,,
Chemistry Teacher International,,2569-3263,Chemistry,Chemistry,De Gruyter,OA,,,,,
China Finance and Economic Review,2095-4638,2196-5633,Business and Economics,Business and Economics,De Gruyter,Hybrid,,,,,
Chinese and Arab Studies,,2747-7460,Cultural Studies,Cultural Studies,De Gruyter,Hybrid,,,,,
Chinese Archaeology,2160-5025,2160-5068,Classical and Ancient Near Eastern Studies,Classical and Ancient Near Eastern Studies,De Gruyter,Hybrid,,,,,
Chinese as a Second Language Research,2193-2263,2193-2271,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Chinese Journal of Applied Linguistics,2192-9505,2192-9513,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Chinese Journal of Slavic Studies,,2747-7487,Cultural Studies,Cultural Studies,De Gruyter,Hybrid,,,,,
Chinese Semiotic Studies,2198-9605,2198-9613,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Clinical Chemistry and Laboratory Medicine (CCLM),1434-6621,1437-4331,Medicine,Medicine,De Gruyter,Hybrid,,,,,
Cognitive Linguistics,0936-5907,1613-3641,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Cognitive Semiotics,1662-1425,2235-2066,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Communications,0341-2059,1613-4087,Social Sciences,Social Sciences,De Gruyter,Hybrid,,,,,
Comparative Southeast European Studies,2701-8199,2701-8202,History,History,De Gruyter,Hybrid,,,,,
Complex Manifolds,,2300-7443,Mathematics,Mathematics,De Gruyter,OA,,,,,
Computational and Mathematical Biophysics,,2544-7297,Physics,Physics,De Gruyter,OA,,,,,
Computational Methods in Applied Mathematics,1609-4840,1609-9389,Mathematics,Mathematics,De Gruyter,Hybrid,,,,,
Computer Law Review International,1610-7608,2194-4164,Law,Law,De Gruyter,Hybrid,,,,,
Computer und Recht,0179-1990,2194-4172,Law,Law,De Gruyter,Hybrid,,,,,
Concrete Operators,,2299-3282,Mathematics,Mathematics,De Gruyter,OA,,,,,
Corpus Linguistics and Linguistic Theory,1613-7027,1613-7035,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Corpus-based Studies across Humanities,,2940-1445,Linguistics and Semiotics,Linguistics and Semiotics,De Gruyter,Hybrid,,,,,
Corrosion Reviews,0334-6005,2191-0316,Materials Sciences,Materials Sciences,De Gruyter,OA,,,,,
