journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
Cell,0092-8674,1097-4172,Cell Biology,Cell Biology,Elsevier,Hybrid,Q1,21.45,45.5,850,"Premier biology journal publishing research on cellular and molecular processes, development, neuroscience, immunity, and human disease."
The Lancet,0140-6736,1474-547X,Medicine,General Medicine,Elsevier,Hybrid,Q1,18.87,98.4,1200,"Premier general medical journal covering clinical medicine, public health, global health, and health policy."
The Lancet Oncology,1470-2045,1474-5488,Oncology,Oncology,Elsevier,Hybrid,Q1,15.23,51.1,600,"Covers clinical oncology including cancer diagnosis, treatment trials, targeted therapies, immunotherapy, and cancer epidemiology."
eBioMedicine,2352-3964,2352-3964,Medicine,Medicine (miscellaneous),Elsevier,OA,Q1,4.12,11.7,150,"Covers biomedical research with clear clinical relevance including infectious disease, oncology, neuroscience, metabolic disorders, and immunology."
Molecular Therapy,1525-0016,1525-0024,Biotechnology,Biotechnology,Elsevier,Hybrid,Q1,5.67,12.4,280,"Covers gene and cell therapy including viral vectors, genome editing, RNA-based therapies, and clinical gene therapy."
Redox Biology,2213-2317,2213-2317,Biochemistry,Biochemistry,Elsevier,OA,Q1,3.45,11.4,150,"Covers redox signaling and oxidative stress in biology and medicine including antioxidant systems, ROS, and redox regulation in disease."
Cancer Letters,0304-3835,1872-7980,Oncology,Oncology,Elsevier,Hybrid,Q1,3.98,9.1,330,"Covers molecular and cellular oncology including cancer genetics, tumor microenvironment, drug resistance, and cancer metabolism."
Biomaterials,0142-9612,1878-5905,Materials Science,Biomaterials,Elsevier,Hybrid,Q1,5.78,14.3,450,"Covers biomaterials science including scaffolds, drug delivery systems, tissue engineering, implants, and biocompatibility."
Journal of Autoimmunity,0896-8411,1095-9157,Immunology,Immunology,Elsevier,Hybrid,Q1,4.23,12.7,270,"Covers autoimmunity and autoimmune diseases including tolerance, autoreactive lymphocytes, organ-specific autoimmunity, and therapies."
EBioMedicine,2352-3964,2352-3964,Medicine,Medicine (miscellaneous),Elsevier,OA,Q1,4.12,11.7,150,"Open access research journal covering biomedical research with potential to improve patient outcomes."
International Journal of Cancer,0020-7136,1097-0215,Oncology,Oncology,Elsevier,Hybrid,Q1,3.34,7.4,380,"Covers clinical and experimental oncology including cancer genetics, tumor immunology, therapeutic targets, and cancer prevention."
Free Radical Biology and Medicine,0891-5849,1873-4596,Biochemistry,Biochemistry,Elsevier,Hybrid,Q1,3.12,7.1,370,"Covers free radical research including oxidative stress, nitric oxide biology, antioxidant enzymes, and redox signaling in disease."
Autophagy,1554-8627,1554-8635,Cell Biology,Cell Biology,Elsevier,Hybrid,Q1,5.67,13.3,240,"Covers autophagy biology including mechanisms of autophagy induction, cargo selection, autophagic flux, and autophagy in disease."
Journal of Biological Chemistry,0021-9258,1083-351X,Biochemistry,Biochemistry,Elsevier,Hybrid,Q1,4.45,5.5,900,"Covers biochemistry and molecular biology including protein structure/function, enzyme mechanisms, cell signaling, and metabolic pathways."
Gastroenterology,0016-5085,1528-0012,Gastroenterology,Gastroenterology,Elsevier,Hybrid,Q1,8.87,22.7,630,"Covers gastrointestinal and liver diseases including basic science, clinical research, and therapeutic advances in gastroenterology."
Seminars in Cancer Biology,1044-579X,1096-3650,Oncology,Oncology,Elsevier,Hybrid,Q1,4.98,17.0,230,"Reviews in cancer biology covering molecular mechanisms, cancer genetics, tumor microenvironment, metastasis, and therapeutic strategies."
Cell Reports,2211-1247,2211-1247,Cell Biology,Cell Biology,Elsevier,OA,Q1,3.45,8.8,290,"Publishes short reports of novel biology across cell, molecular, and developmental biology, neuroscience, immunology, and metabolism."
iScience,2589-0042,2589-0042,Multidisciplinary Sciences,General,Elsevier,OA,Q1,2.56,5.8,120,"Open-access journal from Cell Press covering the life, physical, earth, and applied sciences."
Biochimica et Biophysica Acta,0006-3002,1878-2434,Biochemistry,Biochemistry,Elsevier,Hybrid,Q2,2.45,5.1,480,"Covers biochemistry and molecular biology including lipid biochemistry, gene regulatory networks, protein science, and cell biology."
European Journal of Cell Biology,0171-9335,1618-1298,Cell Biology,Cell Biology,Elsevier,Hybrid,Q2,2.34,5.6,200,"Covers cell biology research including cytoskeletal dynamics, membrane biology, cell adhesion, organelle function, and cell migration."
Journal of Molecular Biology,0022-2836,1089-8638,Molecular Biology,Molecular Biology,Elsevier,Hybrid,Q1,3.56,5.6,540,"Covers molecular biology including protein structure, nucleic acid biochemistry, gene regulation, and molecular mechanisms of disease."
Matrix Biology,0945-053X,1569-1802,Biochemistry,Biochemistry,Elsevier,Hybrid,Q1,4.12,9.8,200,"Covers extracellular matrix biology including matrix structure, biosynthesis, degradation, cell-matrix interactions, and matrix in disease."
Cytokine,1043-4666,1096-0023,Immunology,Immunology,Elsevier,Hybrid,Q2,2.87,4.5,290,"Covers cytokine biology including cytokine structure, receptor interactions, signal transduction, and cytokines in inflammatory disease."
Brain Behavior and Immunity,0889-1591,1090-2139,Neuroscience,Neuroscience,Elsevier,Hybrid,Q1,4.56,15.1,280,"Covers psychoneuroimmunology including brain-immune interactions, neuroinflammation, stress, and mental health."
Journal of Allergy and Clinical Immunology,0091-6749,1097-6825,Immunology,Immunology,Elsevier,Hybrid,Q1,6.23,14.2,480,"Covers allergy and clinical immunology including asthma, atopic disease, immunodeficiency, drug hypersensitivity, and food allergy."
