journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
Nucleic Acids Research,0305-1048,1362-4962,Biochemistry,Biochemistry,Oxford UP,OA,Q1,7.34,19.2,640,"Covers research on nucleic acids including DNA and RNA structure, gene regulation, replication, repair, genome organization, and bioinformatics."
Human Molecular Genetics,0964-6906,1460-2083,Genetics,Genetics,Oxford UP,Hybrid,Q1,3.87,5.1,390,"Covers molecular genetics of human disease including disease gene identification, mutation analysis, functional genomics, and animal models."
Carcinogenesis,0143-3334,1460-2180,Oncology,Oncology,Oxford UP,Hybrid,Q1,3.12,5.4,320,"Covers mechanisms of cancer development including chemical carcinogenesis, cancer genetics, epigenetics, and chemoprevention."
Briefings in Bioinformatics,1467-5463,1477-4054,Bioinformatics,Computational Biology,Oxford UP,Hybrid,Q1,5.67,9.5,200,"Covers bioinformatics with reviews and research on genome analysis, sequence analysis, data mining, and computational tools in biology."
FEMS Microbiology Reviews,0168-6445,1574-6976,Microbiology,Microbiology,Oxford UP,Hybrid,Q1,4.56,13.4,220,"Publishes comprehensive reviews on all aspects of microbiology including microbial physiology, microbial ecology, and host-pathogen interactions."
Journal of Crohn's and Colitis,1873-9946,1876-4479,Gastroenterology,Gastroenterology,Oxford UP,Hybrid,Q1,4.87,9.2,150,"Covers inflammatory bowel disease including pathogenesis, natural history, medical and surgical therapy, and quality of life."
Cerebral Cortex,1047-3211,1460-2199,Neuroscience,Neuroscience,Oxford UP,Hybrid,Q1,3.89,6.2,360,"Covers the structure and function of the cerebral cortex including cortical circuits, cognitive neuroscience, neuroimaging, and cortical disorders."
Academic Medicine,1040-2446,1938-808X,Medicine,Medicine,Oxford UP,Hybrid,,,,,
Adaptation,1755-0637,1755-0645,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Aesthetic Surgery Journal,1090-820X,1527-330X,Medicine,Medicine,Oxford UP,Hybrid,,,,,
African Affairs,0001-9909,1468-2621,Policy,Policy,Oxford UP,Hybrid,,,,,
Age And Ageing,0002-0729,1468-2834,Medicine,Medicine,Oxford UP,Hybrid,,,,,
AJE Advances: Research in Epidemiology,,2977-0548,,,Oxford UP,Hybrid,,,,,
Alcohol And Alcoholism,0735-0414,1464-3502,Medicine,Medicine,Oxford UP,Hybrid,,,,,
American Entomologist,1046-2821,2155-9902,Life Sciences,Life Sciences,Oxford UP,Hybrid,,,,,
American Historical Review,0002-8762,1937-5239,Humanities,Humanities,Oxford UP,Hybrid,,,,,
American Journal of Clinical Pathology,0002-9173,1943-7722,Medicine,Medicine,Oxford UP,Hybrid,,,,,
American Journal of Comparative Law,0002-919X,2326-9197,Law,Law,Oxford UP,Hybrid,,,,,
American Journal Of Epidemiology,0002-9262,1476-6256,Medicine,Medicine,Oxford UP,Hybrid,,,,,
American Journal of Health-System Pharmacy,1079-2082,1535-2900,Medicine,Medicine,Oxford UP,Hybrid,,,,,
American Journal of Hypertension,0895-7061,1941-7225,Medicine,Medicine,Oxford UP,Hybrid,,,,,
American Journal of Respiratory and Critical Care Medicine,1073-449X,1535-4970,Medicine,Medicine,Oxford UP,Hybrid,,,,,
American Journal of Respiratory Cell and Molecular Biology,1044-1549,1535-4989,Medicine,Medicine,Oxford UP,Hybrid,,,,,
American Law And Economics Review,1465-7252,1465-7260,Law,Law,Oxford UP,Hybrid,,,,,
American Literary History,0896-7148,1468-4365,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Analysis,0003-2638,1467-8284,Humanities,Humanities,Oxford UP,Hybrid,,,,,
Animal Frontiers,2160-6056,2160-6064,,,Oxford UP,Hybrid,,,,,
