journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
Tumor Biology,1010-4283,1423-0380,Oncology,Oncology,SAGE,OA,Q2,2.34,3.2,200,"Covers tumor biology including tumor markers, oncogenes, angiogenesis, invasion and metastasis, and experimental cancer therapy."
Innate Immunity,1753-4259,1753-4267,Immunology,Immunology,SAGE,Hybrid,Q2,1.87,3.5,110,"Covers innate immunity including pattern recognition receptors, inflammatory cytokines, antimicrobial defense, and innate immune evasion."
Journal of Histochemistry and Cytochemistry,0022-1554,1551-5044,Pathology,Pathology,SAGE,Hybrid,Q2,1.45,2.8,180,"Covers histochemistry, cytochemistry, and microscopy techniques including immunohistochemistry, in situ hybridization, and flow cytometry."
Acta Radiologica,0284-1851,1600-0455,Radiology,Radiology,SAGE,Hybrid,Q2,1.67,2.5,170,"Covers diagnostic and interventional radiology including imaging techniques, contrast agents, and image-guided interventions."
Journal of High Speed Networks,0926-6801,1875-8940,"Maths, Physics, Chemistry & Computing",Computing & Data Science,SAGE,Hybrid,,,,,
Race & Class,0306-3968,1741-3125,Area & Ethnic Studies,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Human Factors,0018-7208,1547-8181,"Psychology, Psychiatry & Counseling",Psychology & Counseling,SAGE,Hybrid,,,,,
South Asia Economic Journal,1391-5614,0973-077X,Area & Ethnic Studies,Business & Management,SAGE,Hybrid,,,,,
Visual Communication,1470-3572,1741-3214,Anthropology & Archaeology,Communication & Media Studies and Language & Linguistics,SAGE,Hybrid,,,,,
Human Geography,1942-7786,2633-674X,NA,Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
Journal of Contemporary History,0022-0094,1461-7250,History,History,SAGE,Hybrid,,,,,
Autism,1362-3613,1461-7005,Education,Psychology & Counseling,SAGE,Hybrid,,,,,
Feminism & Psychology,0959-3535,1461-7161,Sociology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
International Regional Science Review,0160-0176,1552-6925,"Geography, Earth & Environmental Science",Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
American String Teacher,0003-1313,2515-4842,Education,Education,SAGE,Hybrid,,,,,
International Social Work,0020-8728,1461-7234,"Psychology, Psychiatry & Counseling",Social Work & Social Policy,SAGE,Hybrid,,,,,
Journal of Leadership & Organizational Studies,1548-0518,1939-7089,Business & Management,Business & Management,SAGE,Hybrid,,,,,
"Drug Science, Policy and Law",2050-3245,2050-3245,Pharmacology & Toxicology,"Pharmacology, Toxicology & Pathology",SAGE,Hybrid,,,,,
Science and Technology of Welding and Joining,1362-1718,1743-2936,NA,Material Science,SAGE,Hybrid,,,,,
Chinese Public Administration Review,1539-6754,2573-1483,NA,Social Work & Social Policy,SAGE,Hybrid,,,,,
Canadian Association of Radiologists Journal,0846-5371,1488-2361,NA,Clinical Medicine & Surgery,SAGE,Hybrid,,,,,
Primary Dental Journal,2050-1684,2050-1692,NA,Health & Nursing,SAGE,Hybrid,,,,,
Journal of Language and Social Psychology,0261-927X,1552-6526,Language & Linguistics,Communication & Media Studies and Language & Linguistics,SAGE,Hybrid,,,,,
Feminist Theory,1464-7001,1741-2773,Sociology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Nursing Science Quarterly,0894-3184,1552-7409,Nursing,Health & Nursing,SAGE,Hybrid,,,,,
City & Community,1535-6841,1540-6040,Sociology,"Sociology, Gender Studies & Cultural Studies",SAGE,Hybrid,,,,,
Journal of Contemporary Criminal Justice,1043-9862,1552-5406,Criminology & Criminal Justice,Criminology & Criminal Justice,SAGE,Hybrid,,,,,
Group Analysis,0533-3164,1461-717X,"Psychology, Psychiatry & Counseling",Psychology & Counseling,SAGE,Hybrid,,,,,
Memory Studies,1750-6980,1750-6999,Anthropology & Archaeology,Communication & Media Studies and Language & Linguistics,SAGE,Hybrid,,,,,
Journal of Ethnobiology,0278-0771,2162-4496,Anthropology & Archaeology,Biology & Life Sciences,SAGE,Hybrid,,,,,
Indian Historical Review,0376-9836,0975-5977,History,History,SAGE,Hybrid,,,,,
Pedagogy in Health Promotion,2373-3799,2373-3802,Public Health,Health & Nursing,SAGE,Hybrid,,,,,
The Prison Journal,0032-8855,1552-7522,Criminology & Criminal Justice,Criminology & Criminal Justice,SAGE,Hybrid,,,,,
Textile Research Journal,0040-5175,1746-7748,Materials Science & Engineering,Engineering,SAGE,Hybrid,,,,,
Interventional Neuroradiology,1591-0199,2385-2011,Clinical Medicine,"Neurology, Neuroscience & Psychiatry",SAGE,Hybrid,,,,,
Journal of Development Policy and Practice,2455-1333,2455-4952,Economics & Development Studies,Geography and Urban Studies & Planning,SAGE,Hybrid,,,,,
Foreign Trade Review,0015-7325,0971-7625,Political Science & International Relations,Business & Management,SAGE,Hybrid,,,,,
Interdisciplinary Science Reviews,0308-0188,1743-2790,NA,Physical Sciences,SAGE,Hybrid,,,,,
The International Journal of Evidence & Proof,1365-7127,1740-5572,Criminology & Criminal Justice,Criminology & Criminal Justice,SAGE,Hybrid,,,,,
Social Change,0049-0857,0976-3538,Economics & Development Studies,Social Work & Social Policy,SAGE,Hybrid,,,,,
Archive for the Psychology of Religion,0084-6724,1573-6121,"Religion, Theology and Biblical Studies",Psychology & Counseling,SAGE,Hybrid,,,,,
