journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
Nature,0028-0836,1476-4687,Multidisciplinary Sciences,General,Springer Nature,Hybrid,Q1,25.341,64.8,1000,"Publishes peer-reviewed research in all fields of science and technology. Covers biology, chemistry, physics, earth sciences, medicine, and social sciences."
Nature Medicine,1078-8956,1546-170X,Medicine,Medicine (miscellaneous),Springer Nature,Hybrid,Q1,19.871,58.7,450,"Focuses on biomedical research including disease biology, genomics, molecular medicine, drug discovery, clinical translation, and therapeutic development."
Nature Biotechnology,1087-0156,1546-1696,Biotechnology,Biotechnology,Springer Nature,Hybrid,Q1,18.94,46.9,350,"Covers new concepts in biological manipulation, agricultural biotechnology, biopharmaceuticals, biomaterials, bioprocessing, biosensors, and genomics."
Nature Genetics,1061-4036,1546-1718,Genetics,Genetics,Springer Nature,Hybrid,Q1,17.823,38.3,620,"Focuses on genetic variation and complex traits, functional genomics, epigenetics, structural variation, and population genetics."
Nature Cell Biology,1465-7392,1476-4679,Cell Biology,Cell Biology,Springer Nature,Hybrid,Q1,15.42,21.3,480,"Covers all aspects of cell biology including signalling, organelle function, cell division, cell death, cancer biology, and stem cells."
Nature Communications,2041-1723,2041-1723,Multidisciplinary Sciences,General,Springer Nature,OA,Q1,7.853,16.6,420,"High-impact multidisciplinary journal publishing significant advances across biology, chemistry, physics, earth sciences, and other disciplines."
Nature Methods,1548-7091,1548-7105,Biochemistry,Biochemical Research Methods,Springer Nature,Hybrid,Q1,14.12,50.8,370,"Covers new approaches to biological and chemical research including single-cell methods, imaging, sequencing, proteomics, and computational tools."
Scientific Reports,2045-2322,2045-2322,Multidisciplinary Sciences,General,Springer Nature,OA,Q2,1.24,4.6,330,Open access journal publishing scientifically valid primary research from all areas of natural and clinical sciences.
Cell Research,1001-0602,1748-7838,Cell Biology,Cell Biology,Springer Nature,Hybrid,Q1,8.94,28.9,200,"Covers molecular and cellular biology research including gene regulation, signal transduction, cell cycle, cell death, and cancer biology."
Oncogene,0950-9232,1476-5594,Oncology,Oncology,Springer Nature,Hybrid,Q1,5.87,9.1,280,"Publishes research on the molecular and cellular mechanisms of cancer including oncogenes, tumour suppressors, cancer genomics, and therapeutic targets."
Leukemia,0887-6924,1476-5551,Hematology,Hematology,Springer Nature,Hybrid,Q1,5.63,12.8,250,"Covers leukemia, lymphoma, myeloma, and related hematological disorders including genetics, immunology, stem cells, and clinical treatment."
Gut,0017-5749,1468-3288,Gastroenterology,Gastroenterology,Springer Nature,Hybrid,Q1,7.62,23.0,410,"Covers gastroenterology and hepatology including gut microbiota, inflammatory bowel disease, liver disease, pancreatic cancer, and endoscopy."
Brain,0006-8950,1460-2156,Neuroscience,Neuroscience,Springer Nature,Hybrid,Q1,9.19,14.9,560,"Covers clinical and experimental neurology including neurodegeneration, stroke, epilepsy, pain, neuroinflammation, and neuroimaging."
Blood,0006-4971,1528-0020,Hematology,Hematology,Springer Nature,Hybrid,Q1,7.45,20.3,640,"Covers all aspects of blood research including coagulation, immune cells, stem cells, hematological malignancies, and transfusion medicine."
EMBO Journal,0261-4189,1460-2075,Molecular Biology,Molecular Biology,Springer Nature,Hybrid,Q1,5.23,9.4,360,"Covers molecular and cellular biology including chromatin, RNA biology, protein biology, cell signalling, developmental biology, and structural biology."
Cell Death and Differentiation,1350-9047,1476-5403,Cell Biology,Cell Biology,Springer Nature,Hybrid,Q1,4.76,12.8,290,"Focuses on molecular mechanisms of cell death including apoptosis, necroptosis, autophagy, pyroptosis, and their role in disease."
Journal of Hepatology,0168-8278,1600-0641,Gastroenterology,Gastroenterology,Springer Nature,Hybrid,Q1,9.35,25.7,380,"Covers clinical and experimental aspects of liver diseases including viral hepatitis, metabolic liver disease, liver cancer, and liver transplantation."
Molecular Cancer,1476-4598,1476-4598,Oncology,Oncology,Springer Nature,OA,Q1,5.42,27.7,220,"Covers all aspects of molecular oncology including oncogenes, tumour suppressors, cancer metabolism, metastasis, angiogenesis, and cancer immunotherapy."
Genome Biology,1474-7596,1474-760X,Genetics,Genetics,Springer Nature,OA,Q1,7.34,17.4,280,"Covers genomics and biology of genomes including genome sequencing, genome evolution, epigenomics, functional genomics, and single-cell genomics."
Journal of Translational Medicine,1479-5876,1479-5876,Medicine,Medicine (miscellaneous),Springer Nature,OA,Q1,2.98,6.8,200,"Covers translational medicine including biomarkers, clinical trials, drug delivery, regenerative medicine, and molecular diagnostics."
BMC Bioinformatics,1471-2105,1471-2105,Biochemistry,Biochemical Research Methods,Springer Nature,OA,Q1,1.87,3.0,280,"Covers bioinformatics and computational biology including sequence analysis, structural bioinformatics, systems biology, and machine learning in biology."
BMC Genomics,1471-2164,1471-2164,Genetics,Genetics,Springer Nature,OA,Q1,2.14,4.0,260,"Covers all aspects of genome research including genome sequencing and annotation, transcriptomics, epigenomics, and comparative genomics."
Annals of Oncology,0923-7534,1569-8041,Oncology,Oncology,Springer Nature,Hybrid,Q1,7.92,32.3,420,"Covers clinical oncology including cancer treatment trials, molecular targeted therapies, immunotherapy, and cancer prevention."
Journal of Molecular Medicine,0946-2716,1432-1440,Medicine,Medicine (miscellaneous),Springer Nature,Hybrid,Q1,2.34,5.1,180,"Covers molecular medicine including gene expression, cell signalling, disease mechanisms, biomarkers, and experimental therapeutics."
Cellular and Molecular Life Sciences,1420-682X,1420-9071,Cell Biology,Cell Biology,Springer Nature,Hybrid,Q1,3.45,8.5,230,"Covers molecular and cellular mechanisms in biology and medicine including protein function, cellular signalling, organelle biology, and disease models."
Scientific Data,2052-4463,2052-4463,Multidisciplinary Sciences,General,Springer Nature,OA,Q1,2.45,9.8,120,"Describes datasets with high potential for reuse in all areas of science; covers data sharing, data quality, and metadata standards."
npj Precision Oncology,2397-768X,2397-768X,Oncology,Oncology,Springer Nature,OA,Q1,3.21,10.1,80,"Focuses on precision oncology including molecular profiling, targeted therapies, liquid biopsy, immune profiling, and clinical genomics."
npj Genomic Medicine,2056-7944,2056-7944,Genetics,Genetics,Springer Nature,OA,Q1,2.89,8.3,70,"Covers genomic medicine including clinical genomics, rare disease genomics, pharmacogenomics, and implementation of genomic technologies."
Experimental and Molecular Medicine,1226-3613,2092-6413,Molecular Biology,Molecular Biology,Springer Nature,OA,Q1,2.97,12.8,130,"Covers experimental and molecular medicine including cell biology, signalling pathways, gene therapy, and disease mechanisms."
Cell Discovery,2056-5968,2056-5968,Cell Biology,Cell Biology,Springer Nature,OA,Q1,4.12,13.0,90,"Covers cell biology and related areas including stem cells, single-cell analysis, organoids, cancer biology, and molecular mechanisms."
Communications Biology,2399-3642,2399-3642,Biology,Biological Sciences (all),Springer Nature,OA,Q1,2.87,6.5,100,"Publishes significant advances across biological sciences including structural biology, biochemistry, physiology, and ecology."
Bone Research,2095-4700,2095-6231,Orthopedics,Orthopedics,Springer Nature,OA,Q1,3.15,16.2,80,"Covers bone and mineral research including bone metabolism, osteoporosis, skeletal disease, bone-related cancers, and regenerative medicine."
Nature Aging,2662-8465,2662-8465,Geriatrics,Geriatrics,Springer Nature,OA,Q1,5.89,17.0,60,"Covers the science of aging including biological mechanisms of aging, age-related disease, longevity, interventions, and healthspan."
Gene Therapy,0969-7128,1476-5462,Genetics,Genetics,Springer Nature,Hybrid,Q1,2.45,7.7,200,"Covers gene therapy and nucleic acid medicine including viral vectors, CRISPR, RNA therapies, gene editing, and clinical gene therapy."
Mucosal Immunology,1933-0219,1935-3456,Immunology,Immunology,Springer Nature,Hybrid,Q1,4.12,11.7,150,"Covers immunity at mucosal surfaces including gut immunity, respiratory immunity, barrier function, mucosal vaccines, and microbiome-immune interactions."
International Journal of Obesity,0307-0565,1476-5497,Endocrinology,Endocrinology,Springer Nature,Hybrid,Q1,2.98,9.0,310,"Covers obesity research including adipose tissue biology, metabolic syndrome, weight management, bariatric surgery, and obesity-related disease."
Laboratory Investigation,0023-6837,1530-0307,Pathology,Pathology,Springer Nature,Hybrid,Q1,2.21,5.9,210,"Covers experimental pathology and disease mechanisms including histopathology, molecular pathology, biomarkers, and animal models."
Translational Psychiatry,2158-3188,2158-3188,Psychiatry,Psychiatry,Springer Nature,OA,Q1,2.87,7.4,150,"Covers translational neuroscience and psychiatry including genetics, imaging, biomarkers, animal models, and new therapeutic approaches."
Eye,0950-222X,1476-5454,Ophthalmology,Ophthalmology,Springer Nature,Hybrid,Q2,1.43,3.8,140,"Covers clinical ophthalmology including retinal disease, glaucoma, corneal disorders, refractive surgery, and ocular inflammation."
Spinal Cord,1362-4393,1476-5624,Neuroscience,Neuroscience,Springer Nature,Hybrid,Q2,1.45,3.2,150,"Covers spinal cord injury and disease including rehabilitation, neuroprotection, spasticity management, and quality of life."
European Journal of Clinical Nutrition,0954-3007,1476-5640,Nutrition,Nutrition,Springer Nature,Hybrid,Q2,2.45,5.4,260,"Covers human nutrition including dietary assessment, nutritional epidemiology, obesity, metabolic disease, and micronutrient research."
Journal of Human Genetics,1434-5161,1435-232X,Genetics,Genetics,Springer Nature,Hybrid,Q2,2.12,4.1,150,"Covers human genetics and genomics including disease genetics, pharmacogenomics, epigenetics, and population genetics."
Heredity,0018-067X,1365-2540,Genetics,Genetics,Springer Nature,Hybrid,Q2,1.87,3.9,200,"Covers evolutionary genetics including population genetics, quantitative genetics, ecological genetics, and conservation genetics."
Journal of Exposure Science and Environmental Epidemiology,1559-0631,1559-064X,Public Health,Public Health,Springer Nature,Hybrid,Q2,2.34,5.2,130,"Covers environmental health science including exposome research, environmental epidemiology, toxicology, and health risk assessment."
Psychopharmacology,0033-3158,1432-2072,Psychiatry,Psychiatry,Springer Nature,Hybrid,Q2,2.45,4.5,290,"Covers behavioral pharmacology and neuropsychopharmacology including neurotransmitter systems, addiction, anxiety, and psychosis."
3 Biotech,2190-572X,2190-5738,,,Springer Nature,Hybrid,Q2,,,,
4OR,1619-4500,1614-2411,,,Springer Nature,Hybrid,Q2,,,,
AAPS PharmSciTech,,1530-9932,,,Springer Nature,Hybrid,Q1,,,,
Abdominal Radiology,2366-004X,2366-0058,,,Springer Nature,Hybrid,Q2,,,,
Academic Psychiatry,1042-9670,1545-7230,,,Springer Nature,Hybrid,Q1,,,,
Acta Diabetologica,0940-5429,1432-5233,,,Springer Nature,Hybrid,Q2,,,,
acta ethologica,0873-9749,1437-9546,,,Springer Nature,Hybrid,Q2,,,,
Acta Geophysica,1895-6572,1895-7455,,,Springer Nature,Hybrid,Q2,,,,
Acta Geotechnica,1861-1125,1861-1133,,,Springer Nature,Hybrid,Q1,,,,
Acta Mathematica Scientia,0252-9602,1572-9087,,,Springer Nature,Hybrid,Q1,,,,
"Acta Mathematica Sinica, English Series",1439-8516,1439-7617,,,Springer Nature,Hybrid,Q2,,,,
Acta Mechanica,0001-5970,1619-6937,,,Springer Nature,Hybrid,Q2,,,,
Acta Mechanica Sinica,0567-7718,1614-3116,,,Springer Nature,Hybrid,Q1,,,,
Acta Mechanica Solida Sinica,0894-9166,1860-2134,,,Springer Nature,Hybrid,Q2,,,,
Acta Neurochirurgica,0001-6268,0942-0940,,,Springer Nature,Hybrid,Q2,,,,
Acta Neuropathologica,0001-6322,1432-0533,,,Springer Nature,Hybrid,Q1,,,,
Acta Parasitologica,1230-2821,1896-1851,,,Springer Nature,Hybrid,Q2,,,,
Acta Pharmacologica Sinica,1671-4083,1745-7254,,,Springer Nature,Hybrid,Q1,,,,
Acta Physiologiae Plantarum,0137-5881,1861-1664,,,Springer Nature,Hybrid,Q2,,,,
Acta Politica,0001-6810,1741-1416,,,Springer Nature,Hybrid,Q2,,,,
Administration and Policy in Mental Health and Mental Health Services Research,0894-587X,1573-3289,,,Springer Nature,Hybrid,Q2,,,,
Adolescent Research Review,2363-8346,2363-8354,,,Springer Nature,Hybrid,Q1,,,,
Adsorption,0929-5607,1572-8757,,,Springer Nature,Hybrid,Q2,,,,
Advanced Composites and Hybrid Materials,2522-0128,2522-0136,,,Springer Nature,Hybrid,Q1,,,,
Advanced Fiber Materials,2524-7921,2524-793X,,,Springer Nature,Hybrid,Q1,,,,
Advances in Applied Clifford Algebras,0188-7009,1661-4909,,,Springer Nature,Hybrid,Q2,,,,
Advances in Atmospheric Sciences,0256-1530,1861-9533,,,Springer Nature,Hybrid,Q1,,,,
Advances in Computational Mathematics,1019-7168,1572-9044,,,Springer Nature,Hybrid,Q1,,,,
Advances in Data Analysis and Classification,1862-5347,1862-5355,,,Springer Nature,Hybrid,Q2,,,,
Advances in Health Sciences Education,1382-4996,1573-1677,,,Springer Nature,Hybrid,Q1,,,,
Advances in Manufacturing,2095-3127,2195-3597,,,Springer Nature,Hybrid,Q2,,,,
Advances in Therapy,0741-238X,1865-8652,,,Springer Nature,Hybrid,Q1,,,,
Aequationes mathematicae,0001-9054,1420-8903,,,Springer Nature,Hybrid,Q2,,,,
Aerobiologia,0393-5965,1573-3025,,,Springer Nature,Hybrid,Q2,,,,
Aesthetic Plastic Surgery,0364-216X,1432-5241,,,Springer Nature,Hybrid,Q1,,,,
African Archaeological Review,0263-0338,1572-9842,,,Springer Nature,Hybrid,Q2,,,,
Agriculture and Human Values,0889-048X,1572-8366,,,Springer Nature,Hybrid,Q1,,,,
Agroforestry Systems,0167-4366,1572-9680,,,Springer Nature,Hybrid,Q2,,,,
Agronomy for Sustainable Development,1774-0746,1773-0155,,,Springer Nature,Hybrid,Q1,,,,
AIDS and Behavior,1090-7165,1573-3254,,,Springer Nature,Hybrid,Q2,,,,
Algebra and Logic,0002-5232,1573-8302,,,Springer Nature,Hybrid,Q2,,,,
Alpine Botany,1664-2201,1664-221X,,,Springer Nature,Hybrid,Q2,,,,
Ambio,0044-7447,1654-7209,,,Springer Nature,Hybrid,Q1,,,,
American Journal of Cardiovascular Drugs,1175-3277,1179-187X,,,Springer Nature,Hybrid,Q2,,,,
American Journal of Clinical Dermatology,1175-0561,1179-1888,,,Springer Nature,Hybrid,Q1,,,,
American Journal of Criminal Justice,1066-2316,1936-1351,,,Springer Nature,Hybrid,Q1,,,,
American Journal of Potato Research,1099-209X,1874-9380,,,Springer Nature,Hybrid,Q2,,,,
Analysis and Mathematical Physics,1664-2368,1664-235X,,,Springer Nature,Hybrid,Q1,,,,
Analytical and Bioanalytical Chemistry,1618-2642,1618-2650,,,Springer Nature,Hybrid,Q1,,,,
Anatomical Science International,1447-6959,1447-073X,,,Springer Nature,Hybrid,Q2,,,,
Angiogenesis,0969-6970,1573-7209,,,Springer Nature,Hybrid,Q1,,,,
Annali di Matematica Pura ed Applicata (1923 -),0373-3114,1618-1891,,,Springer Nature,Hybrid,Q2,,,,
Annals of Biomedical Engineering,0090-6964,1573-9686,,,Springer Nature,Hybrid,Q1,,,,
Annals of Dyslexia,0736-9387,1934-7243,,,Springer Nature,Hybrid,Q1,,,,
Annals of Functional Analysis,2639-7390,2008-8752,,,Springer Nature,Hybrid,Q2,,,,
Annals of Global Analysis and Geometry,0232-704X,1572-9060,,,Springer Nature,Hybrid,Q2,,,,
Annals of Hematology,0939-5555,1432-0584,,,Springer Nature,Hybrid,Q2,,,,
Annals of Nuclear Medicine,0914-7187,1864-6433,,,Springer Nature,Hybrid,Q2,,,,
Annals of Operations Research,0254-5330,1572-9338,,,Springer Nature,Hybrid,Q1,,,,
Annals of PDE,2524-5317,2199-2576,,,Springer Nature,Hybrid,Q1,,,,
Annals of Surgical Oncology,1068-9265,1534-4681,,,Springer Nature,Hybrid,Q1,,,,
Apidologie,0044-8435,1297-9678,,,Springer Nature,Hybrid,Q1,,,,
Apoptosis,1360-8185,1573-675X,,,Springer Nature,Hybrid,Q1,,,,
Applied Biochemistry and Biotechnology,0273-2289,1559-0291,,,Springer Nature,Hybrid,Q2,,,,
Applied Health Economics and Health Policy,1175-5652,1179-1896,,,Springer Nature,Hybrid,Q1,,,,
Applied Intelligence,0924-669X,1573-7497,,,Springer Nature,Hybrid,Q2,,,,
Applied Mathematics & Optimization,0095-4616,1432-0606,,,Springer Nature,Hybrid,Q2,,,,
Applied Mathematics and Mechanics,0253-4827,1573-2754,,,Springer Nature,Hybrid,Q1,,,,
Applied Mathematics-A Journal of Chinese Universities,1005-1031,1993-0445,,,Springer Nature,Hybrid,Q2,,,,
Applied Physics A,0947-8396,1432-0630,,,Springer Nature,Hybrid,Q2,,,,
Applied Psychophysiology and Biofeedback,1090-0586,1573-3270,,,Springer Nature,Hybrid,Q2,,,,
Applied Research in Quality of Life,1871-2584,1871-2576,,,Springer Nature,Hybrid,Q1,,,,
Applied Spatial Analysis and Policy,1874-463X,1874-4621,,,Springer Nature,Hybrid,Q2,,,,
Aquaculture International,0967-6120,1573-143X,,,Springer Nature,Hybrid,Q2,,,,
Aquatic Ecology,1386-2588,1573-5125,,,Springer Nature,Hybrid,Q2,,,,
Aquatic Sciences,1015-1621,1420-9055,,,Springer Nature,Hybrid,Q2,,,,
Arabian Journal for Science and Engineering,2193-567X,2191-4281,,,Springer Nature,Hybrid,Q2,,,,
Archaeological and Anthropological Sciences,1866-9557,1866-9565,,,Springer Nature,Hybrid,Q1,,,,
Archive for History of Exact Sciences,0003-9519,1432-0657,,,Springer Nature,Hybrid,Q2,,,,
Archive for Rational Mechanics and Analysis,0003-9527,1432-0673,,,Springer Nature,Hybrid,Q1,,,,
Archive of Applied Mechanics,0939-1533,1432-0681,,,Springer Nature,Hybrid,Q2,,,,
Archives of Civil and Mechanical Engineering,1644-9665,2083-3318,,,Springer Nature,Hybrid,Q1,,,,
Archives of Computational Methods in Engineering,1134-3060,1886-1784,,,Springer Nature,Hybrid,Q1,,,,
Archives of Gynecology and Obstetrics,,1432-0711,,,Springer Nature,Hybrid,Q2,,,,
Archives of Orthopaedic and Trauma Surgery,0936-8051,1434-3916,,,Springer Nature,Hybrid,Q2,,,,
Archives of Osteoporosis,1862-3522,1862-3514,,,Springer Nature,Hybrid,Q1,,,,
Archives of Pharmacal Research,0253-6269,1976-3786,,,Springer Nature,Hybrid,Q1,,,,
Archives of Sexual Behavior,0004-0002,1573-2800,,,Springer Nature,Hybrid,Q1,,,,
Archives of Toxicology,0340-5761,1432-0738,,,Springer Nature,Hybrid,Q1,,,,
Archives of Women's Mental Health,1434-1816,1435-1102,,,Springer Nature,Hybrid,Q2,,,,
Argumentation,0920-427X,1572-8374,,,Springer Nature,Hybrid,Q2,,,,
Arthropod-Plant Interactions,1872-8855,1872-8847,,,Springer Nature,Hybrid,Q2,,,,
