journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
Advanced Materials,0935-9648,1521-4095,Materials Science,Materials Science (miscellaneous),Wiley,Hybrid,Q1,9.12,29.4,400,"Covers advanced materials including nanomaterials, energy materials, biomaterials, organic electronics, photonics, and functional polymers."
Angewandte Chemie International Edition,1433-7851,1521-3773,Chemistry,Chemistry (miscellaneous),Wiley,Hybrid,Q1,9.87,16.6,870,"Covers all fields of chemistry including organic, inorganic, physical, analytical chemistry, catalysis, biochemistry, and materials chemistry."
Journal of the American Chemical Society,0002-7863,1520-5126,Chemistry,Chemistry (miscellaneous),Wiley,Hybrid,Q1,11.23,15.0,1200,"Premier chemistry journal covering all aspects of chemistry including synthesis, catalysis, biochemistry, materials, and computational chemistry."
Cancer,0008-543X,1097-0142,Oncology,Oncology,Wiley,Hybrid,Q1,3.45,6.9,350,"Official journal of the American Cancer Society; covers cancer biology, clinical oncology, epidemiology, and cancer prevention."
Hepatology,0270-9139,1527-3350,Gastroenterology,Gastroenterology,Wiley,Hybrid,Q1,6.87,13.5,380,"Covers liver disease including viral hepatitis, alcoholic liver disease, NAFLD, liver cancer, cholestatic disease, and liver transplantation."
Journal of Pathology,0022-3417,1096-9896,Pathology,Pathology,Wiley,Hybrid,Q1,3.87,8.0,290,"Covers experimental and diagnostic pathology including molecular pathology, tumour biology, tissue biomarkers, and disease mechanisms."
Clinical and Translational Medicine,2001-1326,2001-1326,Medicine,Medicine (miscellaneous),Wiley,OA,Q1,2.45,8.9,100,"Covers clinical and translational medicine including biomarkers, drug development, personalized medicine, and disease mechanisms."
Aging Cell,1474-9718,1474-9726,Geriatrics,Geriatrics,Wiley,Hybrid,Q1,3.12,8.0,180,"Covers cellular and molecular aspects of aging including senescence, telomere biology, mitochondrial function, and longevity mechanisms."
Molecular Oncology,1574-7891,1878-0261,Oncology,Oncology,Wiley,OA,Q1,3.45,7.4,150,"Covers molecular and translational oncology including tumor biology, cancer genomics, therapeutic targets, and biomarkers."
Journal of Cellular and Molecular Medicine,1582-1838,1582-4934,Cell Biology,Cell Biology,Wiley,Hybrid,Q1,2.45,5.5,200,"Covers interdisciplinary research at the interface of cell and molecular biology including disease mechanisms, stem cells, and genomics."
European Journal of Immunology,0014-2980,1521-4141,Immunology,Immunology,Wiley,Hybrid,Q1,2.87,5.0,300,"Covers all aspects of immunological research including innate immunity, adaptive immunity, immune regulation, and immunopathology."
Bioinformatics,1367-4803,1460-2059,Bioinformatics,Computer Applications,Wiley,Hybrid,Q1,4.23,5.8,460,"Covers bioinformatics and computational biology including sequence analysis, structural bioinformatics, machine learning applications, and software development."
Proteomics,1615-9853,1615-9861,Biochemistry,Biochemistry,Wiley,Hybrid,Q1,2.34,4.1,220,"Covers proteomics research including mass spectrometry, protein-protein interactions, post-translational modifications, and clinical proteomics."
Journal of Diabetes,1753-0393,1753-0407,Endocrinology,Endocrinology,Wiley,OA,Q2,2.12,4.5,80,"Covers diabetes research including insulin signaling, beta-cell biology, diabetes complications, and clinical management."
MedComm,2688-2663,2688-2663,Medicine,Medicine (miscellaneous),Wiley,OA,Q1,3.45,9.8,60,"Covers clinical and translational medicine, molecular biology, and biomedical sciences including emerging therapeutics and diagnostics."
Journal of Gastroenterology and Hepatology,0815-9319,1440-1746,Gastroenterology,Gastroenterology,Wiley,Hybrid,Q2,2.45,5.1,220,"Covers clinical and experimental gastroenterology including inflammatory bowel disease, liver disease, gastrointestinal cancer, and endoscopy."
Developmental Cell,1534-5807,1878-1551,Cell Biology,Cell Biology,Wiley,Hybrid,Q1,5.34,11.8,280,"Covers cell biology during development including cell fate decisions, organogenesis, tissue homeostasis, and regeneration."
Genes Chromosomes and Cancer,1045-2257,1098-2264,Genetics,Genetics,Wiley,Hybrid,Q2,2.13,3.8,200,"Covers cancer genetics including chromosomal aberrations, oncogenes, tumor suppressors, and molecular cytogenetics."
Journal of Neurochemistry,0022-3042,1471-4159,Neuroscience,Neuroscience,Wiley,Hybrid,Q2,2.56,5.3,350,"Covers neurochemistry and molecular neuroscience including neurotransmitter metabolism, neurodegeneration, and CNS pharmacology."
Pharmacology and Therapeutics,0163-7258,1879-016X,Pharmacology,Pharmacology,Wiley,Hybrid,Q1,4.56,13.5,280,"Covers advances in pharmacology with emphasis on new drug targets, mechanisms of action, and therapeutic applications."
Journal of Cellular Biochemistry,0730-2312,1097-4644,Biochemistry,Biochemistry,Wiley,Hybrid,Q2,1.87,4.5,260,"Covers cellular biochemistry including gene expression, signal transduction, cell cycle, and metabolic regulation."
Human Gene Therapy,1043-0342,1557-7422,Genetics,Genetics,Wiley,Hybrid,Q2,2.34,5.1,200,"Covers gene and cell therapy including vector development, gene editing, RNA interference, and clinical applications."
World Journal of Gastroenterology,1007-9327,2219-2840,Gastroenterology,Gastroenterology,Wiley,OA,Q2,3.42,5.0,310,"Covers clinical and basic research in gastroenterology including endoscopy, inflammatory bowel disease, liver fibrosis, and gastrointestinal tumors."
Ecology,0012-9658,1939-9170,Ecology,Ecology,Wiley,Hybrid,Q1,3.45,5.8,480,"Covers ecological research including population dynamics, community ecology, ecosystem function, biodiversity, and global change ecology."
Evolutionary Applications,1752-4571,1752-4571,Evolutionary Biology,Evolutionary Biology,Wiley,OA,Q1,2.34,4.9,120,"Covers evolutionary biology applied to medicine, agriculture, and conservation including evolutionary genomics, resistance evolution, and conservation genetics."
Abacus,,1467-6281,"Business, Economics, Finance & Accounting",General & Introductory Accounting,Wiley,Hybrid,Q2,,2.3,,
Academic Emergency Medicine,,1553-2712,Medicine,Emergency Medicine & Trauma,Wiley,Hybrid,Q1,,3.2,,
Accounting & Finance,,1467-629X,"Business, Economics, Finance & Accounting",General & Introductory Accounting,Wiley,Hybrid,Q2,,2.6,,
Acta Anaesthesiologica Scandinavica,,1399-6576,Medicine,Anesthesia & Pain Management,Wiley,Hybrid,Q2,,2,,
Acta Crystallographica Section D: Structural Biology,,2059-7983,Chemistry,Crystallography,Wiley,Hybrid,Q1,,3.8,,
Acta Geologica Sinica (English Edition),,1755-6724,"Earth, Space & Environmental Sciences",General & Introductory Earth Sciences,Wiley,Hybrid,Q1,,3.7,,
Acta Neurologica Scandinavica,,1600-0404,Medicine,Neurology,Wiley,Hybrid,Q2,,2.7,,
Acta Obstetricia et Gynecologica Scandinavica,,1600-0412,Medicine,Obstetrics & Gynecology,Wiley,Hybrid,Q1,,3.1,,
Acta Ophthalmologica,,1755-3768,Medicine,Ophthalmology,Wiley,Hybrid,Q1,,2.8,,
Acta Paediatrica,,1651-2227,Medicine,Pediatrics,Wiley,Hybrid,Q2,,2.1,,
Acta Physiologica,,1748-1716,Medicine,Physiology,Wiley,Hybrid,Q1,,5.6,,
Acta Psychiatrica Scandinavica,,1600-0447,Medicine,Psychiatry,Wiley,Hybrid,Q1,,5,,
Acta Zoologica,,1463-6395,Life Sciences,Animal Science & Zoology,Wiley,Hybrid,Q2,,1.3,,
Addiction,,1360-0443,"Nursing, Dentistry & Healthcare",Addiction,Wiley,Hybrid,Q1,,5.3,,
Addiction Biology,,1369-1600,Life Sciences,Neuroscience,Wiley,Hybrid,Q2,,2.6,,
Advanced Electronic Materials,,2199-160X,Physical Sciences & Engineering,Materials Science,Wiley,Hybrid,Q1,,5.3,,
Advanced Energy Materials,,1614-6840,Physical Sciences & Engineering,General & Introductory Materials Science,Wiley,Hybrid,Q1,,26,,
Advanced Engineering Materials,,1527-2648,Physical Sciences & Engineering,General & Introductory Materials Science,Wiley,Hybrid,Q2,,3.3,,
Advanced Functional Materials,,1616-3028,Physical Sciences & Engineering,General & Introductory Materials Science,Wiley,Hybrid,Q1,,19,,
Advanced Healthcare Materials,,2192-2659,Physical Sciences & Engineering,General & Introductory Materials Science,Wiley,Hybrid,Q1,,9.6,,
Advanced Intelligent Systems,,2640-4567,Physical Sciences & Engineering,Electrical & Electronics Engineering,Wiley,Hybrid,Q1,,6.1,,
Advanced Materials Interfaces,,2196-7350,Physical Sciences & Engineering,Materials Science,Wiley,Hybrid,Q2,,4.4,,
Advanced Materials Technologies,,2365-709X,Physical Sciences & Engineering,General & Introductory Materials Science,Wiley,Hybrid,Q2,,6.2,,
Advanced Optical Materials,,2195-1071,Physical Sciences & Engineering,General & Introductory Materials Science,Wiley,Hybrid,Q1,,7.2,,
Advanced Quantum Technologies,,2511-9044,Physical Sciences & Engineering,Quantum Physics & Field Theory,Wiley,Hybrid,Q1,,4.3,,
